[Header]
Data File Name	C:\PACsolution\Data1\Ch1\2026_05_07\210601.gcd
Output Date	2026/05/08
Output Time	0:53:53

[File Information]
Type	ÃÞ°ÀÌ§²Ù
Generated	2026/05/07 21:06:01
Generated by	
Modified	2026/05/07 21:06:01
Modified by	

[Sample Information]
Operator Name	System Administrator
Acquisition Date	2026/05/07 19:33:54
Type	
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	0
ISTD Amount3	0
ISTD Amount4	0
ISTD Amount5	0
ISTD Amount6	0
ISTD Amount7	0
ISTD Amount8	0
ISTD Amount9	0
ISTD Amount10	0
ISTD Amount11	0
ISTD Amount12	0
ISTD Amount13	0
ISTD Amount14	0
ISTD Amount15	0
ISTD Amount16	0
Sample Amount	100
Dilution Factor	1
Vial#	-1
Injection Volume	9.18356e-039
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\PACsolution\WORK\PAC1\@CHRM1.D02
Method File	210601.GCM
Batch File	
Report Format File	C:\PACsolution\SYSTEM\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	‘•’u–¼1
Instrument #	1
Line #	1

[Peak Table (Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	69.251	69.142	69.490	1652	204	8.00	99.99999	   			0.000	0.000	0.000	0.000	0.000	0.000

[Compound Results (Ch1)]
# of IDs	0

[Group Results (Ch1)]
# of Groups	0

[Chromatogram (Ch1)]
Interval(msec)	100
# of Points	54001
Start Time(min)	0.000
End Time(min)	90.002
R.Time	Intensity
0.00000	1126
0.00167	1126
0.00333	1127
0.00500	1126
0.00667	1126
0.00833	1127
0.01000	1126
0.01167	1127
0.01333	1126
0.01500	1127
0.01667	1127
0.01833	1127
0.02000	1127
0.02167	1127
0.02333	1128
0.02500	1127
0.02667	1128
0.02833	1127
0.03000	1128
0.03167	1128
0.03333	1128
0.03500	1128
0.03667	1128
0.03833	1128
0.04000	1128
0.04167	1128
0.04333	1128
0.04500	1128
0.04667	1129
0.04833	1128
0.05000	1128
0.05167	1128
0.05333	1127
0.05500	1128
0.05667	1127
0.05833	1127
0.06000	1127
0.06167	1127
0.06333	1126
0.06500	1127
0.06667	1126
0.06833	1126
0.07000	1126
0.07167	1126
0.07333	1126
0.07500	1126
0.07667	1126
0.07833	1125
0.08000	1126
0.08167	1125
0.08333	1126
0.08500	1126
0.08667	1125
0.08833	1126
0.09000	1126
0.09167	1126
0.09333	1126
0.09500	1126
0.09667	1127
0.09833	1126
0.10000	1127
0.10167	1127
0.10333	1126
0.10500	1127
0.10667	1128
0.10833	1127
0.11000	1128
0.11167	1127
0.11333	1128
0.11500	1128
0.11667	1128
0.11833	1127
0.12000	1129
0.12167	1128
0.12333	1128
0.12500	1127
0.12667	1129
0.12833	1127
0.13000	1128
0.13167	1128
0.13333	1128
0.13500	1128
0.13667	1128
0.13833	1128
0.14000	1127
0.14167	1128
0.14333	1127
0.14500	1128
0.14667	1127
0.14833	1127
0.15000	1128
0.15167	1127
0.15333	1127
0.15500	1127
0.15667	1126
0.15833	1127
0.16000	1126
0.16167	1127
0.16333	1126
0.16500	1127
0.16667	1126
0.16833	1126
0.17000	1126
0.17167	1127
0.17333	1125
0.17500	1126
0.17667	1126
0.17833	1126
0.18000	1125
0.18167	1125
0.18333	1126
0.18500	1125
0.18667	1125
0.18833	1125
0.19000	1125
0.19167	1126
0.19333	1125
0.19500	1125
0.19667	1125
0.19833	1125
0.20000	1125
0.20167	1125
0.20333	1124
0.20500	1125
0.20667	1124
0.20833	1124
0.21000	1124
0.21167	1125
0.21333	1124
0.21500	1124
0.21667	1125
0.21833	1124
0.22000	1124
0.22167	1124
0.22333	1125
0.22500	1123
0.22667	1125
0.22833	1124
0.23000	1124
0.23167	1124
0.23333	1124
0.23500	1124
0.23667	1125
0.23833	1124
0.24000	1124
0.24167	1124
0.24333	1124
0.24500	1124
0.24667	1124
0.24833	1124
0.25000	1124
0.25167	1124
0.25333	1124
0.25500	1124
0.25667	1124
0.25833	1124
0.26000	1124
0.26167	1124
0.26333	1124
0.26500	1124
0.26667	1124
0.26833	1124
0.27000	1124
0.27167	1124
0.27333	1124
0.27500	1124
0.27667	1123
0.27833	1124
0.28000	1123
0.28167	1124
0.28333	1123
0.28500	1123
0.28667	1123
0.28833	1122
0.29000	1123
0.29167	1122
0.29333	1123
0.29500	1122
0.29667	1122
0.29833	1123
0.30000	1122
0.30167	1122
0.30333	1122
0.30500	1122
0.30667	1122
0.30833	1122
0.31000	1122
0.31167	1121
0.31333	1122
0.31500	1122
0.31667	1123
0.31833	1122
0.32000	1122
0.32167	1123
0.32333	1123
0.32500	1122
0.32667	1123
0.32833	1123
0.33000	1122
0.33167	1123
0.33333	1123
0.33500	1122
0.33667	1123
0.33833	1122
0.34000	1122
0.34167	1123
0.34333	1122
0.34500	1122
0.34667	1122
0.34833	1122
0.35000	1122
0.35167	1122
0.35333	1122
0.35500	1121
0.35667	1122
0.35833	1121
0.36000	1121
0.36167	1121
0.36333	1121
0.36500	1121
0.36667	1120
0.36833	1121
0.37000	1120
0.37167	1121
0.37333	1120
0.37500	1121
0.37667	1120
0.37833	1120
0.38000	1120
0.38167	1120
0.38333	1119
0.38500	1120
0.38667	1119
0.38833	1120
0.39000	1119
0.39167	1119
0.39333	1119
0.39500	1119
0.39667	1119
0.39833	1118
0.40000	1119
0.40167	1118
0.40333	1118
0.40500	1118
0.40667	1117
0.40833	1118
0.41000	1117
0.41167	1118
0.41333	1118
0.41500	1117
0.41667	1118
0.41833	1117
0.42000	1117
0.42167	1117
0.42333	1118
0.42500	1117
0.42667	1118
0.42833	1118
0.43000	1117
0.43167	1118
0.43333	1118
0.43500	1118
0.43667	1117
0.43833	1118
0.44000	1118
0.44167	1118
0.44333	1118
0.44500	1118
0.44667	1118
0.44833	1118
0.45000	1118
0.45167	1118
0.45333	1118
0.45500	1118
0.45667	1118
0.45833	1118
0.46000	1118
0.46167	1118
0.46333	1118
0.46500	1118
0.46667	1118
0.46833	1119
0.47000	1118
0.47167	1118
0.47333	1118
0.47500	1118
0.47667	1118
0.47833	1118
0.48000	1118
0.48167	1118
0.48333	1118
0.48500	1118
0.48667	1118
0.48833	1118
0.49000	1118
0.49167	1118
0.49333	1118
0.49500	1117
0.49667	1118
0.49833	1118
0.50000	1118
0.50167	1118
0.50333	1118
0.50500	1118
0.50667	1118
0.50833	1118
0.51000	1118
0.51167	1118
0.51333	1118
0.51500	1118
0.51667	1118
0.51833	1118
0.52000	1118
0.52167	1119
0.52333	1118
0.52500	1118
0.52667	1119
0.52833	1118
0.53000	1118
0.53167	1119
0.53333	1118
0.53500	1119
0.53667	1118
0.53833	1119
0.54000	1118
0.54167	1119
0.54333	1118
0.54500	1119
0.54667	1119
0.54833	1118
0.55000	1119
0.55167	1118
0.55333	1118
0.55500	1118
0.55667	1118
0.55833	1117
0.56000	1118
0.56167	1118
0.56333	1117
0.56500	1117
0.56667	1118
0.56833	1117
0.57000	1117
0.57167	1118
0.57333	1117
0.57500	1117
0.57667	1117
0.57833	1117
0.58000	1117
0.58167	1117
0.58333	1117
0.58500	1117
0.58667	1117
0.58833	1117
0.59000	1116
0.59167	1117
0.59333	1116
0.59500	1116
0.59667	1117
0.59833	1116
0.60000	1116
0.60167	1117
0.60333	1116
0.60500	1116
0.60667	1116
0.60833	1116
0.61000	1116
0.61167	1116
0.61333	1116
0.61500	1115
0.61667	1116
0.61833	1115
0.62000	1115
0.62167	1115
0.62333	1115
0.62500	1115
0.62667	1114
0.62833	1115
0.63000	1115
0.63167	1114
0.63333	1115
0.63500	1115
0.63667	1114
0.63833	1115
0.64000	1114
0.64167	1114
0.64333	1115
0.64500	1114
0.64667	1115
0.64833	1115
0.65000	1114
0.65167	1115
0.65333	1115
0.65500	1115
